product_id,product_name,category,subcategory,brand,unit_price,supplier_name,launch_date,updated_at
P0020,Ikea Office Chair,HOME,FURNITURE,Ikea,9999.00,Ikea India,2025-01-01,2026-05-29 07:09:32.858830
P0020,Ikea Office Chair,HOME,FURNITURE,Ikea,9999.00,Ikea India,2025-01-01,2026-01-01 10:00:00.000000
P0019,Nestle Chocolate Pack,GROCERIES,SNACKS,Nestle,199.00,Nestle India,2025-01-01,2026-01-01 10:00:00.000000
P0018,Puma Sneakers,FASHION,FOOTWEAR,Puma,4999.00,Puma India,2025-01-01,2026-01-01 10:00:00.000000
P0017,Nike Sports T-Shirt,FASHION,CLOTHING,Nike,1999.00,Nike India,2025-01-01,2026-01-01 10:00:00.000000
P0016,Sony Headphones,ELECTRONICS,ACCESSORIES,Sony,12999.00,Sony India,2025-01-01,2026-01-01 10:00:00.000000
P0015,Apple Watch,ELECTRONICS,ACCESSORIES,Apple,42999.00,Apple India,2025-01-01,2026-01-01 10:00:00.000000
P0014,Samsung Smart TV,ELECTRONICS,TV,Samsung,84999.00,Samsung India,2025-01-01,2026-01-01 10:00:00.000000
P0013,HP Pavilion Laptop,ELECTRONICS,LAPTOP,HP,74999.00,HP India,2025-01-01,2026-01-01 10:00:00.000000
P0012,Ikea Dining Table,HOME,FURNITURE,Ikea,15999.00,Ikea India,2025-01-01,2026-01-01 10:00:00.000000
P0011,Philips Air Fryer,HOME,KITCHEN,Philips,8999.00,Philips India,2025-01-01,2026-01-01 10:00:00.000000
P0010,Nestle Coffee,GROCERIES,BEVERAGES,Nestle,499.00,Nestle India,2025-01-01,2026-01-01 10:00:00.000000
P0009,Amul Butter,GROCERIES,DAIRY,Amul,299.00,Amul India,2025-01-01,2026-01-01 10:00:00.000000
P0008,Puma Track Pants,FASHION,CLOTHING,Puma,2999.00,Puma India,2025-01-01,2026-01-01 10:00:00.000000
P0007,Adidas Hoodie,FASHION,CLOTHING,Adidas,3999.00,Adidas India,2025-01-01,2026-01-01 10:00:00.000000
P0006,Nike Running Shoes,FASHION,FOOTWEAR,Nike,5999.00,Nike India,2025-01-01,2026-01-01 10:00:00.000000
P0005,Sony Bravia 55,ELECTRONICS,TV,Sony,94999.00,Sony India,2025-01-01,2026-01-01 10:00:00.000000
P0004,Dell XPS 13,ELECTRONICS,LAPTOP,Dell,119999.00,Dell India,2025-01-01,2026-01-01 10:00:00.000000
P0003,AirPods Pro,ELECTRONICS,ACCESSORIES,Apple,24999.00,Apple India,2025-01-01,2026-01-01 10:00:00.000000
P0002,Galaxy S24,ELECTRONICS,MOBILE,Samsung,69999.00,Samsung India,2025-01-01,2026-01-01 10:00:00.000000
P0001,iPhone 15,ELECTRONICS,MOBILE,Apple,79999.00,Apple India,2025-01-01,2026-01-01 10:00:00.000000
